V1	V2.x	V3	V4	V5	grp	DUP
NC_021694.1	Gnomon	exon	62597	62673	60	NO
NC_021694.1	Gnomon	intron	62674	62787	61	NO
NC_021694.1	Gnomon	exon	62788	62873	62	NO
NC_021694.1	Gnomon	intron	62874	63625	63	NO
NC_021694.1	Gnomon	exon	63626	63869	64	NO
NC_021694.1	Gnomon	intron	63870	65504	65	NO
NC_021694.1	Gnomon	exon	65505	65756	66	NO
NC_021694.1	Gnomon	intron	65757	66957	67	NO
NC_021694.1	Gnomon	exon	66958	67035	68	NO
NC_021694.1	Gnomon	intron	67036	67817	69	NO
NC_021694.1	Gnomon	exon	67818	67932	70	NO
NC_021694.1	Gnomon	intron	67933	68118	71	NO
NC_021694.1	Gnomon	exon	68119	68207	72	NO
NC_021694.1	Gnomon	intron	68208	68866	73	NO
NC_021694.1	Gnomon	exon	68867	69301	74	NO
NC_021696.1	Gnomon	non_coding	69302	70461	NA	NA
NC_021694.1	Gnomon	exon	70462	71131	76	NO
NC_021694.1	Gnomon	intron	71132	71873	77	NO
NC_021694.1	Gnomon	exon	71874	72090	78	NO
NC_021696.1	Gnomon	non_coding	72091	72626	NA	NA
NC_021694.1	Gnomon	exon	72627	73041	80	NO
NC_021694.1	Gnomon	intron	73042	73732	81	NO
NC_021694.1	Gnomon	exon	73733	73992	82	NO
NC_021696.1	Gnomon	non_coding	73993	75072	NA	NA
NC_021694.1	Gnomon	exon	75073	75505	84	NO
NC_021694.1	Gnomon	intron	75506	75921	85	NO
NC_021694.1	Gnomon	exon	75922	76025	86	NO
NC_021694.1	Gnomon	intron	76026	76370	87	NO
NC_021694.1	Gnomon	exon	76371	76416	88	NO
NC_021694.1	Gnomon	intron	76417	76997	89	NO
NC_021694.1	Gnomon	exon	76998	77038	90	NO
NC_021694.1	Gnomon	intron	77039	77437	91	NO
NC_021694.1	Gnomon	exon	77438	77598	92	NO
NC_021696.1	Gnomon	non_coding	77599	81660	NA	NA
NC_021694.1	Gnomon	exon	81661	82904	94	NO
NC_021694.1	Gnomon	intron	82905	85801	95	NO
NC_021694.1	Gnomon	exon	85802	85835	96	NO
NC_021694.1	Gnomon	intron	85836	86697	97	NO
NC_021694.1	Gnomon	exon	86698	86860	98	NO
NC_021694.1	Gnomon	intron	86861	88290	99	NO
NC_021694.1	Gnomon	exon	88291	88410	100	NO
NC_021694.1	Gnomon	intron	88411	91395	101	NO
NC_021694.1	Gnomon	exon	91396	91527	102	NO
NC_021694.1	Gnomon	intron	91528	92125	103	NO
NC_021694.1	Gnomon	exon	92126	92178	104	NO
NC_021694.1	Gnomon	intron	92179	94704	105	NO
NC_021694.1	Gnomon	exon	94705	94804	106	NO
NC_021694.1	Gnomon	intron	94805	95515	107	NO
NC_021694.1	Gnomon	exon	95516	95613	108	NO
NC_021694.1	Gnomon	intron	95614	95730	109	NO
NC_021694.1	Gnomon	exon	95731	95825	110	NO
NC_021696.1	Gnomon	non_coding	95826	127191	NA	NA
NC_021694.1	Gnomon	exon	127192	127567	112	NO
NC_021694.1	Gnomon	intron	127568	131991	113	NO
NC_021694.1	Gnomon	exon	131992	132243	114	NO
NC_021694.1	Gnomon	intron	132244	133207	115	NO
NC_021694.1	Gnomon	exon	133208	133280	116	NO
NC_021694.1	Gnomon	intron	133281	133281	117	NO
NC_021694.1	Gnomon	exon	133282	133412	118	NO
NC_021694.1	Gnomon	intron	133413	133575	119	NO
NC_021694.1	Gnomon	exon	133576	134046	120	NO
NC_021696.1	Gnomon	non_coding	134047	146643	NA	NA
NC_021694.1	Gnomon	exon	146644	146785	122	NO
NC_021694.1	Gnomon	intron	146786	183644	123	NO
NC_021694.1	Gnomon	exon	183645	184104	124	NO
NC_021694.1	Gnomon	intron	184105	187433	125	NO
NC_021694.1	Gnomon	exon	187434	187664	126	NO
NC_021694.1	Gnomon	intron	187665	190000	127	NO
NC_021694.1	Gnomon	exon	190001	190105	128	NO
NC_021694.1	Gnomon	intron	190106	193069	129	NO
NC_021694.1	Gnomon	exon	193070	193112	130	NO
NC_021694.1	Gnomon	intron	193113	195920	131	NO
NC_021694.1	Gnomon	exon	195921	195996	132	NO
NC_021694.1	Gnomon	intron	195997	196456	133	NO
NC_021694.1	Gnomon	exon	196457	196675	134	NO
NC_021694.1	Gnomon	intron	196676	199668	135	NO
NC_021694.1	Gnomon	exon	199669	199756	136	NO
NC_021694.1	Gnomon	intron	199757	200382	137	NO
NC_021694.1	Gnomon	exon	200383	200535	138	NO
NC_021694.1	Gnomon	intron	200536	201329	139	NO
NC_021694.1	Gnomon	exon	201330	201427	140	NO
NC_021694.1	Gnomon	intron	201428	201764	141	NO
NC_021694.1	Gnomon	exon	201765	201937	142	NO
NC_021694.1	Gnomon	intron	201938	203456	143	NO
NC_021694.1	Gnomon	exon	203457	203573	144	NO
NC_021694.1	Gnomon	intron	203574	204796	145	NO
NC_021694.1	Gnomon	exon	204797	204922	146	NO
NC_021694.1	Gnomon	intron	204923	206124	147	NO
NC_021694.1	Gnomon	exon	206125	206235	148	NO
NC_021694.1	Gnomon	intron	206236	207733	149	NO
NC_021694.1	Gnomon	exon	207734	207939	150	NO
NC_021694.1	Gnomon	intron	207940	211457	151	NO
NC_021694.1	Gnomon	exon	211458	211520	152	NO
NC_021694.1	Gnomon	intron	211521	214379	153	NO
NC_021694.1	Gnomon	exon	214380	214559	154	NO
NC_021694.1	Gnomon	intron	214560	216458	155	NO
NC_021694.1	Gnomon	exon	216459	216509	156	NO
NC_021694.1	Gnomon	intron	216510	226911	157	NO
NC_021694.1	Gnomon	exon	226912	227373	158	NO
NC_021694.1	Gnomon	intron	227374	228559	159	NO
NC_021694.1	Gnomon	exon	228560	228688	160	NO
NC_021694.1	Gnomon	intron	228689	230695	161	NO
NC_021694.1	Gnomon	exon	230696	230797	162	NO
NC_021694.1	Gnomon	intron	230798	231235	163	NO
NC_021694.1	Gnomon	exon	231236	231316	164	NO
NC_021694.1	Gnomon	intron	231317	232743	165	NO
NC_021694.1	Gnomon	exon	232744	232851	166	NO
NC_021694.1	Gnomon	intron	232852	234853	167	NO
NC_021694.1	Gnomon	exon	234854	238315	168	NO
NC_021696.1	Gnomon	non_coding	238316	241284	NA	NA
NC_021694.1	Gnomon	exon	241285	245585	170	NO
NC_021694.1	Gnomon	intron	245586	245901	171	NO
NC_021694.1	Gnomon	exon	245902	246016	172	NO
NC_021696.1	Gnomon	non_coding	246017	280566	NA	NA
NC_021694.1	Gnomon	exon	280567	281885	174	NO
NC_021694.1	Gnomon	intron	281886	285177	175	NO
NC_021694.1	Gnomon	exon	285178	285240	176	NO
NC_021694.1	Gnomon	intron	285241	290942	177	NO
NC_021694.1	Gnomon	exon	290943	291109	178	NO
NC_021694.1	Gnomon	intron	291110	295300	179	NO
NC_021694.1	Gnomon	exon	295301	295362	180	NO
NC_021694.1	Gnomon	intron	295363	295744	181	NO
NC_021694.1	Gnomon	exon	295745	295876	182	NO
NC_021694.1	Gnomon	intron	295877	297233	183	NO
NC_021694.1	Gnomon	exon	297234	297410	184	NO
NC_021694.1	Gnomon	intron	297411	298577	185	NO
NC_021694.1	Gnomon	exon	298578	298677	186	NO
NC_021694.1	Gnomon	intron	298678	298776	187	NO
NC_021694.1	Gnomon	exon	298777	298891	188	NO
NC_021694.1	Gnomon	intron	298892	300041	189	NO
NC_021694.1	Gnomon	exon	300042	300152	190	NO
NC_021694.1	Gnomon	intron	300153	303744	191	NO
NC_021694.1	Gnomon	exon	303745	303830	192	NO
NC_021694.1	Gnomon	intron	303831	305199	193	NO
NC_021694.1	Gnomon	exon	305200	305276	194	NO
NC_021694.1	Gnomon	intron	305277	306042	195	NO
NC_021694.1	Gnomon	exon	306043	306194	196	NO
NC_021694.1	Gnomon	intron	306195	307131	197	NO
NC_021694.1	Gnomon	exon	307132	307223	198	NO
NC_021694.1	Gnomon	intron	307224	307718	199	NO
NC_021694.1	Gnomon	exon	307719	307854	200	NO
NC_021694.1	Gnomon	intron	307855	308482	201	NO
NC_021694.1	Gnomon	exon	308483	308587	202	NO
NC_021694.1	Gnomon	intron	308588	312283	203	NO
NC_021694.1	Gnomon	exon	312284	312372	204	NO
NC_021694.1	Gnomon	intron	312373	313380	205	NO
NC_021694.1	Gnomon	exon	313381	313438	206	NO
NC_021694.1	Gnomon	intron	313439	314798	207	NO
NC_021694.1	Gnomon	exon	314799	314907	208	NO
NC_021694.1	Gnomon	intron	314908	315219	209	NO
NC_021694.1	Gnomon	exon	315220	315328	210	NO
NC_021694.1	Gnomon	intron	315329	322708	211	NO
NC_021694.1	Gnomon	exon	322709	322889	212	NO
NC_021696.1	Gnomon	non_coding	322890	329479	NA	NA
NC_021694.1	Gnomon	exon	329480	330875	214	NO
NC_021694.1	Gnomon	intron	330876	331038	215	NO
NC_021694.1	Gnomon	exon	331039	331122	216	NO
NC_021694.1	Gnomon	intron	331123	332103	217	NO
NC_021694.1	Gnomon	exon	332104	332318	218	NO
NC_021694.1	Gnomon	intron	332319	334212	219	NO
NC_021694.1	Gnomon	exon	334213	334325	220	NO
NC_021694.1	Gnomon	intron	334326	335518	221	NO
NC_021694.1	Gnomon	exon	335519	335661	222	NO
NC_021694.1	Gnomon	intron	335662	338967	223	NO
NC_021694.1	Gnomon	exon	338968	339150	224	NO
NC_021696.1	Gnomon	non_coding	339151	341502	NA	NA
NC_021694.1	Gnomon	exon	341503	341651	226	NO
NC_021694.1	Gnomon	intron	341652	342112	227	NO
NC_021694.1	Gnomon	exon	342113	344201	228	NO
NC_021694.1	Gnomon	intron	344202	344703	229	NO
NC_021694.1	Gnomon	exon	344704	344998	230	NO
NC_021694.1	Gnomon	intron	344999	346446	231	NO
NC_021694.1	Gnomon	exon	346447	346519	232	NO
NC_021694.1	Gnomon	intron	346520	346996	233	NO
NC_021694.1	Gnomon	exon	346997	347057	234	NO
NC_021694.1	Gnomon	intron	347058	347460	235	NO
NC_021694.1	Gnomon	exon	347461	347534	236	NO
NC_021694.1	Gnomon	intron	347535	347921	237	NO
NC_021694.1	Gnomon	exon	347922	348024	238	NO
NC_021694.1	Gnomon	intron	348025	348229	239	NO
NC_021694.1	Gnomon	exon	348230	348332	240	NO
NC_021694.1	Gnomon	intron	348333	348415	241	NO
NC_021694.1	Gnomon	exon	348416	348559	242	NO
NC_021694.1	Gnomon	intron	348560	350006	243	NO
NC_021694.1	Gnomon	exon	350007	350138	244	NO
NC_021694.1	Gnomon	intron	350139	350311	245	NO
NC_021694.1	Gnomon	exon	350312	350409	246	NO
NC_021694.1	Gnomon	intron	350410	351642	247	NO
NC_021694.1	Gnomon	exon	351643	351881	248	NO
NC_021696.1	Gnomon	non_coding	351882	385086	NA	NA
NC_021694.1	Gnomon	exon	385087	385215	250	NO
NC_021694.1	Gnomon	intron	385216	390608	251	NO
NC_021694.1	Gnomon	exon	390609	390821	252	NO
NC_021694.1	Gnomon	intron	390822	390884	253	NO
NC_021694.1	Gnomon	exon	390885	390943	254	NO
NC_021694.1	Gnomon	intron	390944	391013	255	NO
NC_021694.1	Gnomon	exon	391014	391095	256	NO
NC_021694.1	Gnomon	intron	391096	391801	257	NO
NC_021694.1	Gnomon	exon	391802	391917	258	NO
NC_021694.1	Gnomon	intron	391918	392103	259	NO
NC_021694.1	Gnomon	exon	392104	392278	260	NO
NC_021694.1	Gnomon	intron	392279	393115	261	NO
NC_021694.1	Gnomon	exon	393116	393409	262	NO
NC_021694.1	Gnomon	intron	393410	393990	263	NO
NC_021694.1	Gnomon	exon	393991	394299	264	NO
NC_021694.1	Gnomon	intron	394300	397657	265	NO
NC_021694.1	Gnomon	exon	397658	397767	266	NO
NC_021694.1	Gnomon	intron	397768	398074	267	NO
NC_021694.1	Gnomon	exon	398075	398276	268	NO
NC_021694.1	Gnomon	intron	398277	399119	269	NO
NC_021694.1	Gnomon	exon	399120	399222	270	NO
NC_021694.1	Gnomon	intron	399223	399331	271	NO
NC_021694.1	Gnomon	exon	399332	399605	272	NO
NC_021694.1	Gnomon	intron	399606	401166	273	NO
NC_021694.1	Gnomon	exon	401167	401203	274	NO
NC_021694.1	Gnomon	intron	401204	401714	275	NO
NC_021694.1	Gnomon	exon	401715	401853	276	NO
NC_021694.1	Gnomon	intron	401854	403550	277	NO
NC_021694.1	Gnomon	exon	403551	403580	278	NO
NC_021694.1	Gnomon	intron	403581	404535	279	NO
NC_021694.1	Gnomon	exon	404536	404693	280	NO
NC_021694.1	Gnomon	intron	404694	406876	281	NO
NC_021694.1	Gnomon	exon	406877	407067	282	NO
NC_021694.1	Gnomon	intron	407068	408209	283	NO
NC_021694.1	Gnomon	exon	408210	408282	284	NO
NC_021694.1	Gnomon	intron	408283	408440	285	NO
NC_021694.1	Gnomon	exon	408441	408517	286	NO
NC_021694.1	Gnomon	intron	408518	409250	287	NO
NC_021694.1	Gnomon	exon	409251	409268	288	NO
NC_021694.1	Gnomon	intron	409269	410341	289	NO
NC_021694.1	Gnomon	exon	410342	410378	290	NO
NC_021694.1	Gnomon	intron	410379	410723	291	NO
NC_021694.1	Gnomon	exon	410724	410821	292	NO
NC_021694.1	Gnomon	intron	410822	411191	293	NO
NC_021694.1	Gnomon	exon	411192	411308	294	NO
NC_021694.1	Gnomon	intron	411309	411898	295	NO
NC_021694.1	Gnomon	exon	411899	412053	296	NO
NC_021694.1	Gnomon	intron	412054	413353	297	NO
NC_021694.1	Gnomon	exon	413354	413489	298	NO
NC_021694.1	Gnomon	intron	413490	413579	299	NO
NC_021694.1	Gnomon	exon	413580	413729	300	NO
NC_021694.1	Gnomon	intron	413730	413833	301	NO
NC_021694.1	Gnomon	exon	413834	414007	302	NO
NC_021694.1	Gnomon	intron	414008	416008	303	NO
NC_021694.1	Gnomon	exon	416009	416149	304	NO
NC_021694.1	Gnomon	intron	416150	419967	305	NO
NC_021694.1	Gnomon	exon	419968	420093	306	NO
NC_021694.1	Gnomon	intron	420094	422395	307	NO
NC_021694.1	Gnomon	exon	422396	422553	308	NO
NC_021694.1	Gnomon	intron	422554	423636	309	NO
NC_021694.1	Gnomon	exon	423637	423772	310	NO
NC_021694.1	Gnomon	intron	423773	426295	311	NO
NC_021694.1	Gnomon	exon	426296	428298	312	NO
NC_021696.1	Gnomon	non_coding	428299	523550	NA	NA
NC_021694.1	Gnomon	exon	523551	523677	314	NO
NC_021694.1	Gnomon	intron	523678	532642	315	NO
NC_021694.1	Gnomon	exon	532643	532708	316	NO
NC_021694.1	Gnomon	intron	532709	539391	317	NO
NC_021694.1	Gnomon	exon	539392	539731	318	NO
NC_021696.1	Gnomon	non_coding	539732	921653	NA	NA
NC_021694.1	Gnomon	exon	921654	923099	320	NO
NC_021694.1	Gnomon	intron	923100	924562	321	NO
NC_021694.1	Gnomon	exon	924563	924643	322	NO
NC_021694.1	Gnomon	intron	924644	926791	323	NO
NC_021694.1	Gnomon	exon	926792	926944	324	NO
NC_021694.1	Gnomon	intron	926945	930329	325	NO
NC_021694.1	Gnomon	exon	930330	930743	326	NO
NC_021694.1	Gnomon	intron	930744	931001	327	NO
NC_021694.1	Gnomon	exon	931002	931127	328	NO
NC_021694.1	Gnomon	intron	931128	935850	329	NO
NC_021694.1	Gnomon	exon	935851	936073	330	NO
NC_021694.1	Gnomon	intron	936074	942098	331	NO
NC_021694.1	Gnomon	exon	942099	942445	332	NO
NC_021694.1	Gnomon	intron	942446	944992	333	NO
NC_021694.1	Gnomon	exon	944993	945017	334	NO
NC_021696.1	Gnomon	non_coding	945018	959114	NA	NA
NC_021694.1	Gnomon	exon	959115	959682	336	NO
NC_021694.1	Gnomon	intron	959683	962005	337	NO
NC_021694.1	Gnomon	exon	962006	962098	338	NO
NC_021694.1	Gnomon	intron	962099	966306	339	NO
NC_021694.1	Gnomon	exon	966307	966402	340	NO
NC_021694.1	Gnomon	intron	966403	967042	341	NO
NC_021694.1	Gnomon	exon	967043	967165	342	NO
NC_021694.1	Gnomon	intron	967166	969110	343	NO
NC_021694.1	Gnomon	exon	969111	969242	344	NO
NC_021694.1	Gnomon	intron	969243	970354	345	NO
NC_021694.1	Gnomon	exon	970355	970431	346	NO
NC_021694.1	Gnomon	intron	970432	979344	347	NO
NC_021694.1	Gnomon	exon	979345	979438	348	NO
NC_021694.1	Gnomon	intron	979439	986902	349	NO
NC_021694.1	Gnomon	exon	986903	987061	350	NO
NC_021696.1	Gnomon	non_coding	987062	1095241	NA	NA
NC_021694.1	Gnomon	exon	1095242	1096684	352	NO
NC_021696.1	Gnomon	non_coding	1096685	1101021	NA	NA
NC_021694.1	Gnomon	exon	1101022	1101593	354	NO
NC_021694.1	Gnomon	intron	1101594	1101630	355	NO
NC_021694.1	Gnomon	exon	1101631	1101849	356	NO
NC_021694.1	Gnomon	intron	1101850	1103463	357	NO
NC_021694.1	Gnomon	exon	1103464	1103734	358	NO
NC_021694.1	Gnomon	intron	1103735	1105550	359	NO
NC_021694.1	Gnomon	exon	1105551	1105866	360	NO
NC_021694.1	Gnomon	intron	1105867	1106302	361	NO
NC_021694.1	Gnomon	exon	1106303	1106519	362	NO
NC_021694.1	Gnomon	intron	1106520	1107037	363	NO
NC_021694.1	Gnomon	exon	1107038	1107269	364	NO
NC_021694.1	Gnomon	intron	1107270	1122536	365	NO
NC_021694.1	Gnomon	exon	1122537	1122707	366	NO
NC_021696.1	Gnomon	non_coding	1122708	1168822	NA	NA
NC_021694.1	Gnomon	exon	1168823	1168983	368	NO
NC_021694.1	Gnomon	intron	1168984	1173860	369	NO
NC_021694.1	Gnomon	exon	1173861	1174053	370	NO
NC_021694.1	Gnomon	intron	1174054	1177253	371	NO
NC_021694.1	Gnomon	exon	1177254	1177375	372	NO
NC_021694.1	Gnomon	intron	1177376	1180028	373	NO
NC_021694.1	Gnomon	exon	1180029	1180154	374	NO
NC_021694.1	Gnomon	intron	1180155	1181798	375	NO
NC_021694.1	Gnomon	exon	1181799	1181936	376	NO
NC_021694.1	Gnomon	intron	1181937	1183293	377	NO
NC_021694.1	Gnomon	exon	1183294	1183428	378	NO
NC_021694.1	Gnomon	intron	1183429	1184248	379	NO
NC_021694.1	Gnomon	exon	1184249	1184378	380	NO
NC_021694.1	Gnomon	intron	1184379	1186147	381	NO
NC_021694.1	Gnomon	exon	1186148	1186415	382	NO
NC_021694.1	Gnomon	intron	1186416	1191932	383	NO
NC_021694.1	Gnomon	exon	1191933	1192169	384	NO
NC_021694.1	Gnomon	intron	1192170	1199074	385	NO
NC_021694.1	Gnomon	exon	1199075	1199368	386	NO
NC_021694.1	Gnomon	intron	1199369	1201036	387	NO
NC_021694.1	Gnomon	exon	1201037	1201180	388	NO
NC_021694.1	Gnomon	intron	1201181	1202597	389	NO
NC_021694.1	Gnomon	exon	1202598	1202736	390	NO
NC_021694.1	Gnomon	intron	1202737	1206775	391	NO
NC_021694.1	Gnomon	exon	1206776	1206927	392	NO
NC_021694.1	Gnomon	intron	1206928	1214492	393	NO
NC_021694.1	Gnomon	exon	1214493	1214597	394	NO
NC_021694.1	Gnomon	intron	1214598	1215703	395	NO
NC_021694.1	Gnomon	exon	1215704	1215797	396	NO
NC_021694.1	Gnomon	intron	1215798	1223083	397	NO
NC_021694.1	Gnomon	exon	1223084	1223354	398	NO
NC_021694.1	Gnomon	intron	1223355	1227236	399	NO
NC_021694.1	Gnomon	exon	1227237	1227403	400	NO
NC_021694.1	Gnomon	intron	1227404	1229304	401	NO
NC_021694.1	Gnomon	exon	1229305	1229480	402	NO
NC_021694.1	Gnomon	intron	1229481	1230559	403	NO
NC_021694.1	Gnomon	exon	1230560	1230726	404	NO
NC_021694.1	Gnomon	intron	1230727	1232627	405	NO
NC_021694.1	Gnomon	exon	1232628	1232806	406	NO
NC_021694.1	Gnomon	intron	1232807	1236713	407	NO
NC_021694.1	Gnomon	exon	1236714	1236819	408	NO
NC_021694.1	Gnomon	intron	1236820	1249443	409	NO
NC_021694.1	Gnomon	exon	1249444	1249512	410	NO
NC_021694.1	Gnomon	intron	1249513	1264740	411	NO
NC_021694.1	Gnomon	exon	1264741	1265143	412	NO
NC_021696.1	Gnomon	non_coding	1265144	1285353	NA	NA
NC_021694.1	Gnomon	exon	1285354	1285450	414	NO
NC_021694.1	Gnomon	intron	1285451	1289073	415	NO
NC_021694.1	Gnomon	exon	1289074	1289155	416	NO
NC_021694.1	Gnomon	intron	1289156	1291760	417	NO
NC_021694.1	Gnomon	exon	1291761	1291821	418	NO
NC_021694.1	Gnomon	intron	1291822	1292518	419	NO
NC_021694.1	Gnomon	exon	1292519	1292716	420	NO
NC_021694.1	Gnomon	intron	1292717	1294886	421	NO
NC_021694.1	Gnomon	exon	1294887	1294967	422	NO
NC_021694.1	Gnomon	intron	1294968	1295213	423	NO
NC_021694.1	Gnomon	exon	1295214	1295351	424	NO
NC_021694.1	Gnomon	intron	1295352	1321576	425	NO
NC_021694.1	Gnomon	exon	1321577	1321763	426	NO
NC_021696.1	Gnomon	non_coding	1321764	1330252	NA	NA
NC_021694.1	Gnomon	exon	1330253	1330665	428	NO
NC_021694.1	Gnomon	intron	1330666	1334340	429	NO
NC_021694.1	Gnomon	exon	1334341	1334444	430	NO
NC_021694.1	Gnomon	intron	1334445	1338265	431	NO
NC_021694.1	Gnomon	exon	1338266	1338327	432	NO
NC_021694.1	Gnomon	intron	1338328	1338701	433	NO
NC_021694.1	Gnomon	exon	1338702	1338784	434	NO
NC_021694.1	Gnomon	intron	1338785	1340770	435	NO
NC_021694.1	Gnomon	exon	1340771	1340891	436	NO
NC_021694.1	Gnomon	intron	1340892	1343857	437	NO
NC_021694.1	Gnomon	exon	1343858	1343980	438	NO
NC_021694.1	Gnomon	intron	1343981	1344475	439	NO
NC_021694.1	Gnomon	exon	1344476	1344641	440	NO
NC_021694.1	Gnomon	intron	1344642	1345473	441	NO
NC_021694.1	Gnomon	exon	1345474	1345567	442	NO
NC_021694.1	Gnomon	intron	1345568	1346054	443	NO
NC_021694.1	Gnomon	exon	1346055	1346179	444	NO
NC_021696.1	Gnomon	non_coding	1346180	1347624	NA	NA
NC_021694.1	Gnomon	exon	1347625	1347743	446	NO
NC_021694.1	Gnomon	intron	1347744	1347861	447	NO
NC_021694.1	Gnomon	exon	1347862	1347970	448	NO
NC_021694.1	Gnomon	intron	1347971	1351127	449	NO
NC_021694.1	Gnomon	exon	1351128	1351185	450	NO
NC_021694.1	Gnomon	intron	1351186	1352057	451	NO
NC_021694.1	Gnomon	exon	1352058	1352158	452	NO
NC_021694.1	Gnomon	intron	1352159	1352237	453	NO
NC_021694.1	Gnomon	exon	1352238	1352329	454	NO
NC_021694.1	Gnomon	intron	1352330	1352628	455	NO
NC_021694.1	Gnomon	exon	1352629	1352729	456	NO
NC_021694.1	Gnomon	intron	1352730	1354843	457	NO
NC_021694.1	Gnomon	exon	1354844	1354992	458	NO
NC_021694.1	Gnomon	intron	1354993	1363902	459	NO
NC_021694.1	Gnomon	exon	1363903	1363992	460	NO
NC_021694.1	Gnomon	intron	1363993	1365780	461	NO
NC_021694.1	Gnomon	exon	1365781	1366565	462	NO
NC_021696.1	Gnomon	non_coding	1366566	1368149	NA	NA
NC_021694.1	Gnomon	exon	1368150	1368313	464	NO
NC_021694.1	Gnomon	intron	1368314	1368501	465	NO
NC_021694.1	Gnomon	exon	1368502	1368603	466	NO
NC_021694.1	Gnomon	intron	1368604	1370689	467	NO
NC_021694.1	Gnomon	exon	1370690	1371214	468	NO
NC_021696.1	Gnomon	non_coding	1371215	1378047	NA	NA
NC_021694.1	Gnomon	exon	1378048	1378360	470	NO
NC_021694.1	Gnomon	intron	1378361	1378899	471	NO
NC_021694.1	Gnomon	exon	1378900	1379051	472	NO
NC_021694.1	Gnomon	intron	1379052	1379285	473	NO
NC_021694.1	Gnomon	exon	1379286	1379388	474	NO
NC_021694.1	Gnomon	intron	1379389	1381016	475	NO
NC_021694.1	Gnomon	exon	1381017	1381168	476	NO
NC_021696.1	Gnomon	non_coding	1381169	1410654	NA	NA
NC_021694.1	Gnomon	exon	1410655	1410870	478	NO
NC_021694.1	Gnomon	intron	1410871	1412918	479	NO
NC_021694.1	Gnomon	exon	1412919	1413106	480	NO
NC_021694.1	Gnomon	intron	1413107	1413204	481	NO
NC_021694.1	Gnomon	exon	1413205	1413284	482	NO
NC_021694.1	Gnomon	intron	1413285	1413393	483	NO
NC_021694.1	Gnomon	exon	1413394	1413531	484	NO
NC_021694.1	Gnomon	intron	1413532	1413639	485	NO
